team1_goals;team2_goals;market_value_distance
1;2;-0.73699659675544
1;0;0.22050771289673976
1;1;0.2003358300015041
0;2;-0.7571684796506757
1;0;-0.020171882895235665
0;0;0.5366607667539359
1;2;-0.1576612961960012
1;1;-0.5506525020986454
2;1;-0.09376230473756789
1;2;-0.48675351064021205
3;0;0.06389899145843331
0;0;0.6444148068362132
0;1;-0.25984957364607675
0;2;-0.8015416368367048
2;0;-0.13323670126358045
0;0;-0.6749287644542085
1;0;0.12661287238249633
1;0;0.9347783381002852
1;0;0.17428668839947026
0;1;-0.8747834074087459
2;2;0.3849857801535639
0;3;-0.6640843156546523
2;0;0.21069909175409365
1;2;0.48979762725518206
1;1;0.0001552417296000752
2;0;-0.3623458419636077
0;1;-0.28033190105376654
0;3;-0.6428329847469743
1;0;-0.2804871427833666
1;0;0.6426777430173742
2;0;-0.1787528675515419
1;1;-0.5595001512302148
1;1;-0.04168076863428484
0;0;-0.4224280523129577
1;2;0.13707209891725708
3;3;0.6011809198644996
1;1;0.02846921450566886
0;1;-0.24107085480240248
1;0;0.15649655480979463
1;2;-0.6789433950330279
0;3;-0.8513687794938839
4;0;0.752744635611518
0;2;0.5440831986619767
2;1;-0.7069575168115576
1;1;0.32051742621519497
1;3;0.49085986080588767
1;1;-0.5651934644556027
2;5;-0.7471742772632869
0;2;-0.33929614505886924
2;0;-0.1667372122059414
0;1;0.1876741260330721
2;1;0.73699659675544
0;1;-0.22050771289673976
1;1;-0.2003358300015041
2;0;0.7571684796506757
0;1;0.020171882895235665
0;0;-0.5366607667539359
2;1;0.1576612961960012
1;1;0.5506525020986454
1;2;0.09376230473756789
2;1;0.48675351064021205
0;3;-0.06389899145843331
0;0;-0.6444148068362132
1;0;0.25984957364607675
2;0;0.8015416368367048
0;2;0.13323670126358045
0;0;0.6749287644542085
0;1;-0.12661287238249633
0;1;-0.9347783381002852
0;1;-0.17428668839947026
1;0;0.8747834074087459
2;2;-0.3849857801535639
3;0;0.6640843156546523
0;2;-0.21069909175409365
2;1;-0.48979762725518206
1;1;-0.0001552417296000752
0;2;0.3623458419636077
1;0;0.28033190105376654
3;0;0.6428329847469743
0;1;0.2804871427833666
0;1;-0.6426777430173742
0;2;0.1787528675515419
1;1;0.5595001512302148
1;1;0.04168076863428484
0;0;0.4224280523129577
2;1;-0.13707209891725708
3;3;-0.6011809198644996
1;1;-0.02846921450566886
1;0;0.24107085480240248
0;1;-0.15649655480979463
2;1;0.6789433950330279
3;0;0.8513687794938839
0;4;-0.752744635611518
2;0;-0.5440831986619767
1;2;0.7069575168115576
1;1;-0.32051742621519497
3;1;-0.49085986080588767
1;1;0.5651934644556027
5;2;0.7471742772632869
2;0;0.33929614505886924
0;2;0.1667372122059414
1;0;-0.1876741260330721
